stock_id,ticker,company_name,sector,industry,country,market_cap,p_e,price,change,volume,upcoming_earnings,etf,is_options_exists,round_lot_size,create_date,update_date
f7fb71d1-bb97-48a0-92b7-4864ba3b3ec3,PNW,Pinnacle West Capital Corp.,Utilities,Utilities - Regulated Electric,USA,404,16.19,67.92,0.03%,404,8/30/2024,FALSE,FALSE,100,,
9e252199-276f-4c39-9756-3b8232e91e49,PODD,Insulet Corporation,Healthcare,Medical Devices,USA,404,113.93,191.01,0.25%,404,8/31/2024,FALSE,FALSE,100,,
3e10ff74-4487-4460-a501-f3fc84a6fb1e,POR,Portland General Electric Co,Utilities,Utilities - Regulated Electric,USA,404,17.51,40.9,0.25%,404,09-01-2024,FALSE,FALSE,100,,
c420ef19-cd2b-476a-9e96-4a7870de5374,PRVA,Privia Health Group Inc,Healthcare,Health Information Services,USA,404,68.47,20.93,-3.10%,404,09-02-2024,FALSE,FALSE,100,,
f53db6e1-8f3b-4f0c-bba0-6a729e0c0073,PSTG,Pure Storage Inc,Technology,Computer Hardware,USA,404,227.25,42.95,-1.06%,404,09-03-2024,FALSE,FALSE,100,,
eacdd7c1-bf50-499b-9b33-d71ec0010c6e,PWR,"Quanta Services, Inc.",Industrials,Engineering & Construction,USA,404,45.08,211.44,-1.22%,404,09-04-2024,FALSE,FALSE,100,,
10e0998c-8d2f-4e65-bc96-4fb285992c96,PYPL,PayPal Holdings Inc,Financial,Credit Services,USA,404,15.37,59.14,-0.94%,404,09-05-2024,FALSE,FALSE,100,,
e93d13b2-5e59-4092-b3b7-ba6ad3a025f8,RARE,Ultragenyx Pharmaceutical Inc.,Healthcare,Biotechnology,USA,404,-,48.92,5.75%,404,09-06-2024,FALSE,FALSE,100,,
4a0d4dd0-0ef2-49d1-a5ae-dc8cfbe26a8b,RCL,Royal Caribbean Group,Consumer Cyclical,Travel Services,USA,404,18.64,116.09,-1.46%,404,09-07-2024,FALSE,FALSE,100,,
70ee1a8c-d438-49e3-9a7e-81d51f98da0d,REXR,Rexford Industrial Realty Inc,Real Estate,REIT - Industrial,USA,404,47.38,53.07,-0.23%,404,09-08-2024,FALSE,FALSE,100,,
890c5a90-e0b8-4d45-afe7-b4865c39618b,RL,Ralph Lauren Corp,Consumer Cyclical,Apparel Manufacturing,USA,404,20.52,180.85,-0.17%,404,09-09-2024,FALSE,FALSE,100,,
3d06d1c1-bc53-4f25-b8b2-9c3b1fa7fd10,RNG,RingCentral Inc.,Technology,Software - Application,USA,404,-,30.64,-6.95%,404,09-10-2024,FALSE,FALSE,100,,
a4ec12c7-8c63-4ff9-8272-f2386df25290,ROKU,Roku Inc,Communication Services,Entertainment,USA,404,-,72,-23.81%,404,09-11-2024,FALSE,FALSE,100,,
b50a38f6-86d4-47f6-aa1f-c56f0618e71a,ROL,"Rollins, Inc.",Consumer Cyclical,Personal Services,USA,404,46.25,41.05,-1.61%,404,09-12-2024,FALSE,FALSE,100,,
d7d026f1-637f-4d1b-b8c2-2d12a91cb043,ROST,"Ross Stores, Inc.",Consumer Cyclical,Apparel Retail,USA,404,28.53,144.08,-0.21%,404,9/13/2024,FALSE,FALSE,100,,
7a24e3c6-8a9e-42db-b49c-4e1f09a3e3c5,RPD,Rapid7 Inc,Technology,Software - Infrastructure,USA,404,-,59.78,-0.90%,404,9/14/2024,FALSE,FALSE,100,,
f1276b61-66d6-4ee5-8f32-d199c181f9ec,RPRX,Royalty Pharma plc,Healthcare,Biotechnology,USA,404,11.8,29.92,-0.37%,404,9/15/2024,FALSE,FALSE,100,,
937f32a4-727e-4cc9-8fc2-ebfe58cb25bb,RSG,"Republic Services, Inc.",Industrials,Waste Management,USA,404,34.92,180.43,0.32%,404,9/16/2024,FALSE,FALSE,100,,
b7238459-64f0-4b68-bb1c-0b2159a0cb15,RTX,RTX Corp,Industrials,Aerospace & Defense,USA,404,40.66,91.01,-0.85%,404,9/17/2024,FALSE,FALSE,100,,
32ae0630-d9fc-41d4-b4e5-5e155f1e6d08,S,SentinelOne Inc,Technology,Software - Infrastructure,USA,404,-,29.52,-1.60%,404,9/18/2024,FALSE,FALSE,100,,
9c36346a-29d1-4e12-9b52-1964e9167082,SBUX,Starbucks Corp.,Consumer Cyclical,Restaurants,USA,404,24.93,93.22,0.00%,404,9/19/2024,FALSE,FALSE,100,,
4c9f4e18-9f41-4c58-aa2a-25d0f0dd1a52,SGRY,Surgery Partners Inc,Healthcare,Medical Care Facilities,USA,404,-,34.23,-1.35%,404,9/20/2024,FALSE,FALSE,100,,
e53585bc-05bc-4f86-b2e9-c7f09b2a51f4,SHAK,Shake Shack Inc,Consumer Cyclical,Restaurants,USA,404,216.35,98.29,-0.11%,404,9/21/2024,FALSE,FALSE,100,,
f3ac8348-03a3-42e0-8ef7-c2b5464a54a1,SKT,Tanger Inc.,Real Estate,REIT - Retail,USA,404,31.02,28.64,3.39%,404,9/22/2024,FALSE,FALSE,100,,
770d94f4-3a07-4f96-b1e5-c964de425fb0,SLM,SLM Corp.,Financial,Credit Services,USA,404,8.42,20.18,-0.39%,404,9/23/2024,FALSE,FALSE,100,,
287607bc-d5b2-4051-8561-03b0b71c36b4,SMAR,Smartsheet Inc,Technology,Software - Application,USA,404,-,43.71,-3.38%,404,9/24/2024,FALSE,FALSE,100,,
